name,comment
 【当当自营】华为 荣耀V20 全网通8GB+128GB 幻夜黑 游戏手机 移动联通电信4G全面屏手机 双卡双待,146
 【当当自营】华为 畅享9 Plus 全网通4GB+64GB 幻夜黑 移动联通电信4G手机 双卡双待,145
 【当当自营】华为 畅享9 Plus 全网通4GB+64GB 宝石蓝 移动联通电信4G手机 双卡双待,144
 【当当自营】华为 mate20 全网通6GB+128GB 翡冷翠 移动联通电信4G手机 双卡双待,144
 【当当自营】华为 畅享9 Plus 全网通4GB+128GB 宝石蓝 移动联通电信4G手机 双卡双待,141
 【当当自营】华为 mate20 X 全网通6GB+128GB 幻影银 移动联通电信4G手机 双卡双待,140
 【当当自营】华为 P30 全网通8GB+128GB 亮黑色 移动联通电信4G手机 双卡双待,140
 【当当自营】华为 mate20 全网通6GB+128GB 极光色 移动联通电信4G手机 双卡双待,139
 【当当自营】Apple iPhone8 苹果8 (A1863) 64GB 深空灰色 移动联通电信4G手机,138
 【当当自营】华为 荣耀V20 全网通8GB+128GB 魅海蓝 游戏手机 移动联通电信4G全面屏手机 双卡双待,136
 【当当自营】华为 mate20 全网通6GB+64GB 宝石蓝 移动联通电信4G手机 双卡双待,135
 【当当自营】华为 mate20 全网通6GB+128GB 宝石蓝 移动联通电信4G手机 双卡双待,130
 【当当自营】华为 mate20 X 全网通6GB+128GB 宝石蓝 移动联通电信4G手机 双卡双待,130
 【当当自营】华为 畅享9 Plus 全网通4GB+128GB 幻夜黑 移动联通电信4G手机 双卡双待,129
 荣耀8X 千元屏霸 高屏占比 2000万AI双摄 全网通,127
 【当当自营】小米8 屏幕指纹版 6GB+128GB 黑色 移动联通电信4G全网通手机 AI双摄 全面屏,125
 【当当自营】华为P30 极光色 8GB+128GB 徕卡三摄 未来影像 移动联通电信4G全面屏全网通手机,121
 【当当自营】华为 P30 全网通8GB+128GB 珠光贝母 移动联通电信4G手机 双卡双待,119
 【当当自营】华为 mate20 X 全网通8GB+256GB 宝石蓝 移动联通电信4G手机 双卡双待,116
 【当当自营】华为 mate20 X 全网通8GB+256GB 幻影银 移动联通电信4G手机 双卡双待,116
